Time(s),CH1(V),CH2(V),CH3(V)
1.8280E-09,-8.774288E-02,-2.654414E-01,-8.334067E-01
1.9280E-09,-8.774288E-02,-2.654414E-01,-8.420880E-01
2.0280E-09,-6.580716E-02,-2.433213E-01,-8.507693E-01
2.1280E-09,-6.580716E-02,-2.433213E-01,-8.594506E-01
2.2280E-09,-6.580716E-02,-2.433213E-01,-8.594506E-01
2.3280E-09,-6.580716E-02,-2.212012E-01,-8.681320E-01
2.4280E-09,-6.580716E-02,-2.212012E-01,-8.681320E-01
2.5280E-09,-6.580716E-02,-1.990811E-01,-8.594506E-01
2.6280E-09,-6.580716E-02,-1.990811E-01,-8.594506E-01
2.7280E-09,-6.580716E-02,-1.990811E-01,-8.507693E-01
2.8280E-09,-6.580716E-02,-1.769610E-01,-8.507693E-01
2.9280E-09,-6.580716E-02,-1.769610E-01,-8.420880E-01
3.0280E-09,-6.580716E-02,-1.769610E-01,-8.420880E-01
3.1280E-09,-6.580716E-02,-1.769610E-01,-8.334067E-01
3.2280E-09,-6.580716E-02,-1.769610E-01,-8.334067E-01
3.3280E-09,-6.580716E-02,-1.990811E-01,-8.247254E-01
3.4280E-09,-6.580716E-02,-1.990811E-01,-8.247254E-01
3.5280E-09,-6.580716E-02,-1.990811E-01,-8.247254E-01
3.6280E-09,-6.580716E-02,-1.990811E-01,-8.247254E-01
3.7280E-09,-6.580716E-02,-1.990811E-01,-8.334067E-01
3.8280E-09,-6.580716E-02,-1.990811E-01,-8.334067E-01
3.9280E-09,-6.580716E-02,-1.990811E-01,-8.420880E-01
4.0280E-09,-6.580716E-02,-1.990811E-01,-8.420880E-01
4.1280E-09,-6.580716E-02,-1.990811E-01,-8.420880E-01
4.2280E-09,-6.580716E-02,-1.990811E-01,-8.507693E-01
4.3280E-09,-6.580716E-02,-1.990811E-01,-8.507693E-01
4.4280E-09,-6.580716E-02,-1.990811E-01,-8.507693E-01
4.5280E-09,-6.580716E-02,-1.990811E-01,-8.507693E-01
4.6280E-09,-6.580716E-02,-1.990811E-01,-8.507693E-01
4.7280E-09,-6.580716E-02,-2.212012E-01,-8.507693E-01
4.8280E-09,-6.580716E-02,-2.212012E-01,-8.420880E-01
4.9280E-09,-6.580716E-02,-2.212012E-01,-8.420880E-01
5.0280E-09,-4.387144E-02,-2.212012E-01,-8.334067E-01
5.1280E-09,-4.387144E-02,-2.212012E-01,-8.247254E-01
5.2280E-09,-4.387144E-02,-2.212012E-01,-8.073627E-01
5.3280E-09,-4.387144E-02,-2.433213E-01,-7.900001E-01
5.4280E-09,-2.193572E-02,-2.212012E-01,-7.726374E-01
5.5280E-09,-2.193572E-02,-2.212012E-01,-7.552748E-01
